pictureName,dateTime,aperture,exposure,make,model,lenseModel,lenseDescription,ISO,APERTURE,WHITE_BALANCE,BRIGHTNESS,CONTRAST,SATURATION,SHARPNESS,SHUTTER_SPEED,DIGITAL_ZOOM_RATIO,IMAGE_WIDTH,IMAGE_HEIGHT,X_RESOLUTION,Y_RESOLUTION,FLASH,METERING_MODE,FOCAL_LENGTH,FOCAL_LENGTH_35MM, EXPOSURE_TIME, EXPOSURE_COMPENSATION, EXPOSURE_PROGRAM, ORIENTATION, COLOR_SPACE,SENSING_METHOD,SOFTWARE,MAKE,MODEL,LENS_MAKE,LENS_MODEL,OWNER_NAME,TITLE,AUTHOR,SUBJECT,KEYWORDS,COMMENT,RATING,RATING_PERCENT,DATE_TIME_ORIGINAL,GPS_LATITUDE,GPS_LATITUDE_REF,GPS_LONGITUDE, GPS_LONGITUDE_REF, GPS_ALTITUDE, GPS_ALTITUDE_REF, GPS_SPEED, GPS_SPEED_REF, GPS_PROCESS_METHOD,GPS_BEARING, GPS_BEARING_REF, GPS_TIMESTAMP, ROTATION, EXIF_VERSION, LENS_ID,COPYRIGHT,ARTIST,SUB_SEC_TIME_ORIGINAL, OBJECT_NAME, CAPTION_ABSTRACT,CREATOR,IPTC_KEYWORDS,COPYRIGHT_NOTICE, FILE_TYPE, FILE_SIZE, AVG_BITRATE, MIME_TYPE, CREATE_DATE, VISION_CONTENT, VISION_TAGS
AesthetikVerfall-1219n.jpg,2018:06:05 14:38:24,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,160,3.50000018908944,1,4.9546875,0,0,0,0.0250000016442728,1,3239,3255,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:38:24,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,6809056,-,-,2018:06:05 14:38:24,a close up of a wooden door,cabinet%sitting%wooden%table%building%little%old%red%close%hand%large%kitchen%door%oven%holding%cake%train%standing%stuffed%laying%cat%pizza%
AesthetikVerfall-1218n.jpg,2018:06:05 14:38:11,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,160,3.50000018908944,1,5.025,0,0,0,0.0250000016442728,1,3254,3239,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:38:11,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,5973629,-,-,2018:06:05 14:38:11,a group of colorful flowers,blue%colorful%wearing%colored%hanging%old%covered%woman%painted%man%many%red%graffiti%standing%group%street%phone%
AesthetikVerfall-1259n.jpg,2018:06:05 15:25:33,3.50000018908944,0.0333333239899075,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,100,3.50000018908944,1,5.15,0,0,0,0.0333333239899075,1,3041,2994,240,240,16,5,5.19,-,0.03333333333,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 15:25:33,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,5892112,-,-,2018:06:05 15:25:33,a drawing of a tree,drawing%tree%bird%flower%white%horse%
AesthetikVerfall-1213n.jpg,2018:06:05 14:16:09,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,100,3.50000018908944,1,5.38046875,0,0,0,0.0250000016442728,1,3200,3223,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:16:09,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,8897591,-,-,2018:06:05 14:16:09,-,animal%water%wave%orange%surfing%board%yellow%riding%ocean%hot%large%man%dog%table%cake%laying%pizza%graffiti%white%
AesthetikVerfall-1201n.jpg,2018:06:05 14:12:43,3.50000018908944,0.0200000026308365,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,100,3.50000018908944,1,5.55625,0,0,0,0.0200000026308365,1,3176,3207,240,240,16,5,5.95,-,0.02,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:12:43,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,6595759,-,-,2018:06:05 14:12:43,-,old%sitting%piece%table%cake%laying%
AesthetikVerfall-1223n.jpg,2018:06:05 14:39:33,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,125,3.50000018908944,1,5.27890625,0,0,0,0.0250000016442728,1,3270,3270,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:39:33,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,6334668,-,-,2018:06:05 14:39:33,a tree with a mountain in the background,building%mountain%old%sitting%field%table%red%standing%man%covered%snow%door%large%holding%tree%cake%sign%train%hydrant%group%
AesthetikVerfall-1203n.jpg,2018:06:05 14:13:17,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,160,3.50000018908944,1,5.2046875,0,0,0,0.0250000016442728,1,3199,3199,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:13:17,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,5492995,-,-,2018:06:05 14:13:17,a close up of a door,building%orange%sitting%small%door%white%snow%old%green%street%water%standing%painted%blue%covered%yellow%red%man%room%train%window%cat%sign%
AesthetikVerfall-1321n.jpg,2018:06:07 13:42:50,3.29999994402518,0.0333333239899075,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,125,3.29999994402518,1,4.7359375,0,0,0,0.0333333239899075,1,3117,3093,240,240,16,5,4.45,-,0.03333333333,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:07 13:42:50,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,7143458,-,-,2018:06:07 13:42:50,a painting of a blue wall,blue%sitting%photo%painted%water%covered%painting%yellow%room%table%colorful%rain%black%old%hydrant%white%night%snow%fire%umbrella%graffiti%
AesthetikVerfall-1450n.jpg,-,2.80000033543011,0.0222222237060143,NIKON,E4300,-,-,100,2.80000033543011,0,-,0,0,0,0.0222222237060143,0,1453,1460,240,240,16,5,8,38,0.02222222222,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),NIKON,E4300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,753802,-,-,-,a piece of wood,building%wooden%sitting%table%piece%food%old%covered%board%brick%pizza%
AesthetikVerfall-1215n.jpg,2018:06:05 14:16:52,3.50000018908944,0.0250000016442728,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,160,3.50000018908944,1,4.759375,0,0,0,0.0250000016442728,1,3223,3191,240,240,16,5,5.95,-,0.025,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:06:05 14:16:52,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,Ästhetik Zerfall,-,JPEG,5623024,-,-,2018:06:05 14:16:52,a close up of a tree,tree%
